NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
860,E1721200020111,第２コミュニティ消防センター,石川県野々市市中林5-30-1,,,,36.51118,136.604951,
861,E1721200008111,富陽小学校体育館,石川県野々市市中林5-70,1,,,36.5129263300181,136.603998758219,
862,E1721200016111,郷公民館,石川県野々市市田尻町94,,,,36.531935,136.596043,
863,E1721200022111,第３コミュニティ消防防災センター,石川県野々市市田尻町96-14,,,,36.531628,136.59581,
864,E1721200013111,交遊舎,石川県野々市市二日市1-2,,,,36.542206,136.598419,
865,E1721200021111,防災コミュニティセンター,石川県野々市市本町1-2-50,,,,36.537888,136.623842,
866,E1721200014111,中央公民館,石川県野々市市本町2-1-20,,,,36.532643,136.618469,
867,E1721200019111,第１コミュニティ消防センター,石川県野々市市本町2-17-10,,,,36.531082,136.620377,
868,E1721200026111,教育センター,石川県野々市市本町4-21-27,,,,36.529915,136.610458,
869,E1721200009111,野々市小学校体育館,石川県野々市市本町5-3-1,1,,,36.5321352328196,136.609749051546,
870,E1721200024111,文化会館フォルテ,石川県野々市市本町5-4-1,,,,36.531845,136.608459,
871,E1721200010111,石川県立大学体育館,石川県野々市市末松1-308,1,,,36.507345835528,136.597088393102,
872,E1720400003111,輪島市立河原田小学校（体育館）,石川県輪島市横地町６字123,1,,,37.3725155398767,136.907362569205,
873,E1720400004111,輪島市立輪島中学校（武道館）,石川県輪島市河井町１１部39-1,1,,,37.3900822658468,136.911175837564,
874,E1720400004112,輪島市立輪島中学校（屋内運動場、全天候型広場）,石川県輪島市河井町１１部39-1,1,,,37.389584612079,136.912555023472,
875,E1720400006111,輪島市立河井小学校（体育館）,石川県輪島市河井町１８部1-2,1,,,37.3919789237982,136.9035154401,
876,E1720400007111,石川県立輪島高等学校（体育館）,石川県輪島市河井町１８部42-2,1,,,37.3902149180786,136.903364730068,
877,E1720400008111,輪島駅ふらっと訪夢,石川県輪島市河井町２０部1-131,,,,37.388899610087,136.90617893916,
878,E1720400009111,輪島市文化会館（輪島市立輪島公民館）,石川県輪島市河井町２０部１－１地,1,,,37.388582307549,136.905966443253,
879,E1720400011111,輪島市ふれあい健康センター,石川県輪島市河井町２部287-1,1,,,37.3941237772943,136.901180571137,
880,E1720400015111,舳倉島開発総合センター,石川県輪島市海士町所属舳倉島出邑山1-4,1,,,37.8505874862978,136.918106838213,
881,E1720400016111,輪島市立三井小学校（体育館）,石川県輪島市三井町興徳寺１０字29,1,,,37.3158017580333,136.898233664224,
882,E1720400017111,旧輪島市立三井中学校（体育館）,石川県輪島市三井町興徳寺１０字33,1,,,37.3162484105215,136.89968390529,
883,E1720400018111,日本航空学園（ＷＡＪＩＭＡ　ＭＥＭＯＲＩＡＬ　ＧＩＭ）,石川県輪島市三井町洲衛９部27-6,,,,37.298103381886,136.96314542767,
884,E1720400020111,輪島市立三井公民館,石川県輪島市三井町長沢２字12-1,1,,,37.315385599044,136.90259947871,
885,E1720400021111,輪島市立大屋公民館,石川県輪島市小伊勢町丸垣内22-1,1,,,37.381134745013,136.88596170094,
886,E1720400022111,輪島市立大屋小学校（体育館）,石川県輪島市小伊勢町日隅7-3,1,,,37.383171809131,136.88858109171,
887,E1720400023111,旧輪島市立鵠巣公民館,石川県輪島市深見町６５部33-1,1,,,37.410667854366,136.96971006611,
888,E1720400024111,サン・アリーナ,石川県輪島市杉平町１字12,1,,,37.3868438855487,136.914133980928,
889,E1720400026111,輪島市立河原田公民館,石川県輪島市西脇町60-1,1,,,37.3571788371635,136.908381158665,
890,E1720400027111,旧輪島市立西保小学校（体育館）,石川県輪島市赤崎町ニ80,1,,,37.3834301660752,136.81355095551,
891,E1720400028111,輪島市立西保公民館,石川県輪島市大沢町ホサソ201-3,1,,,37.3746802812267,136.803328539858,
892,E1720400029111,輪島市立鵠巣小学校（体育館）,石川県輪島市大野町菰沢2-3,1,,,37.3972674991747,136.934602176001,
893,E1720400084111,輪島市立鵠巣公民館,石川県輪島市大野町菰沢35,,,,37.397548,136.93355,
894,E1720400032111,輪島市立町野公民館,石川県輪島市町野町粟蔵川原田22-1,1,,,37.4233635607777,137.088129741652,
895,E1720400033111,輪島市立東陽中学校（体育館）,石川県輪島市町野町粟蔵川原田33,1,,,37.4224911749238,137.088385260518,
896,E1720400034111,輪島市立町野小学校（体育館）,石川県輪島市町野町粟蔵川原田42,1,,,37.4225931794281,137.088799765127,
897,E1720400035111,輪島市ふるさと体験実習館,石川県輪島市町野町曽々木サ部45,,,,37.4545804888036,137.073281751447,
898,E1720400039111,介護予防拠点施設ふれあいプラザ二勢,石川県輪島市二勢町44,,,,37.3866134088051,136.895772561706,
899,E1720400042111,輪島市立鳳至公民館,石川県輪島市鳳至町石浦町83-1,1,,,37.3984855986699,136.89689919257,
900,E1720400045111,輪島市立鳳至小学校（体育館）,石川県輪島市鳳至町堂金田1,1,,,37.3958581399787,136.89469542789,
901,E1720400049111,夕陽ヶ丘防災拠点施設,石川県輪島市堀町１５字2-2,,,,37.396528916599,136.89137806139,
902,E1720400051111,輪島市立七浦公民館,石川県輪島市門前町鵜山12-50,1,,,37.345281141227,136.75280727821,
903,E1720400053111,輪島市立浦上公民館,石川県輪島市門前町浦上8-58,1,,,37.3057689290989,136.797614236869,
904,E1720400056111,石川県立門前高等学校（体育館）,石川県輪島市門前町広岡5-3,1,,,37.28614830977,136.768591461891,
905,E1720400057111,輪島市立黒島公民館,石川県輪島市門前町黒島町高池45,1,,,37.2789032745982,136.735632924658,
906,E1720400061111,輪島市立門前東小学校（体育館）,石川県輪島市門前町清水1-68,,,,37.2883076495796,136.766576577809,
907,E1720400060111,輪島市立門前中学校（体育館）,石川県輪島市門前町清水10-21,1,,,37.2921548550225,136.764061564921,
908,E1720400062111,輪島市門前健民体育館,石川県輪島市門前町清水7-1,1,,,37.2910385974202,136.758858868144,
909,E1720400064111,輪島市役所門前総合支所（防災研修室）,石川県輪島市門前町走出6-69,1,,,37.2873837451974,136.767963712729,
910,E1720400063111,輪島市門前会館（輪島市立門前公民館）,石川県輪島市門前町走出6-92-2,1,,,37.2877984492107,136.767771407098,
911,E1720400067111,輪島市立門前西小学校（体育館）,石川県輪島市門前町道下1-123,1,,,37.2851615560364,136.741293593788,
912,E1720400068111,輪島市立諸岡公民館,石川県輪島市門前町道下7-175,1,,,37.2884034015025,136.745259123641,
913,E1720400070111,輪島市立阿岸公民館,石川県輪島市門前町南ナ17,1,,,37.2554348679507,136.733153521258,
914,E1720400071111,輪島市立本郷公民館,石川県輪島市門前町二又川4-4-1,1,,,37.2848355555739,136.826646200697,
915,E1720400074111,輪島市七浦基幹集落センター,石川県輪島市門前町餅田9-16-2,1,,,37.3469589732768,136.755792269334,
916,E1720400075111,剱地原子力災害防護施設,石川県輪島市門前町剱地ソ13,,,,37.2315691866032,136.71022934517,
917,E1720400076111,輪島市立剱地公民館,石川県輪島市門前町剱地ツ60,1,,,37.2317654155461,136.70871645141,
918,E1720400078111,輪島市立南志見公民館,石川県輪島市里町３２字36,1,,,37.4310020272449,137.03421620067,
919,E1720400080111,輪島市立港公民館,石川県輪島市輪島崎町１部211-4,1,,,37.40328927933,136.8999196746,
